,Name,Description,geometry,route_type,branch_no
10,Kemuning,,POINT Z (102.2705438 2.454257 0),ODA - THURSDAY ONLY WEF. 010721,AGH (CR - SMALL)
11,Kampung Kemuning,,POINT Z (102.2692691 2.434947 0),ODA - THURSDAY ONLY WEF. 010721,AGH (CR - SMALL)
12,Kampung Hutan Percha,,POINT Z (102.294963 2.447233 0),ODA - THURSDAY ONLY WEF. 010721,AGH (CR - SMALL)
13,Hutan Percha Police Station,,POINT Z (102.3011497 2.4440618 0),ODA - THURSDAY ONLY WEF. 010721,AGH (CR - SMALL)
14,Kampung Baru Menggong,,POINT Z (102.3019391 2.413833 0),NSA,AGH (CR - SMALL)
15,Manchap,,POINT Z (102.2913061 2.385291 0),NSA,AGH (CR - SMALL)
16,Felda Tun Ghafar Menggong,,POINT Z (102.302856 2.4168175 0),NSA,AGH (CR - SMALL)
17,Bukit Bulat,,POINT Z (102.2883333 2.3922222 0),NSA,AGH (CR - SMALL)
18,GDEX AJL,,POINT Z (103.0467147 5.0722432 0),GDEX BRANCH,AJL (ER2 - SMALL)
19,AJLBRMC001 (SUBTOWN),BUKIT PAYUNG	24.3km<br>KAMPUNG PAK MADAH	27.3km<br>KAMPUNG UNDANG	31.3km<br>PADANG MIDIN	33.8km<br>KAMPUNG KUBANG PANJANG	38.5km,"POLYGON Z ((103.1071324 5.2649151 0, 103.1038705 5.2664531 0, 103.1010385 5.2650851 0, 103.0994075 5.2627351 0, 103.0970045 5.2599571 0, 103.0910816 5.2592311 0, 103.0919836 5.2521371 0, 103.0897516 5.2529061 0, 103.0865756 5.2481631 0, 103.0825417 5.2499151 0, 103.0780787 5.2473511 0, 103.0816407 5.2453421 0, 103.0879916 5.2461541 0, 103.0911246 5.2422231 0, 103.0909956 5.2392741 0, 103.0874766 5.2354701 0, 103.0839146 5.2347871 0, 103.0785077 5.2374791 0, 103.0742597 5.2365391 0, 103.0705258 5.2315811 0, 103.0753317 5.2283761 0, 103.0728427 5.2227771 0, 103.0712117 5.2181191 0, 103.0763187 5.2179051 0, 103.0779497 5.2088021 0, 103.0856746 5.2037591 0, 103.0878206 5.2056401 0, 103.0897946 5.2093151 0, 103.0953305 5.2178631 0, 103.1002655 5.2222221 0, 103.1024545 5.2188031 0, 103.104815 5.2192306 0, 103.1048575 5.2215811 0, 103.105968 5.2217787 0, 103.1050185 5.2185574 0, 103.1040636 5.2158757 0, 103.1019983 5.205923 0, 103.1003219 5.1965873 0, 103.0984222 5.1896161 0, 103.0926902 5.1846679 0, 103.0895667 5.1827066 0, 103.0875758 5.1780931 0, 103.0856791 5.1737775 0, 103.0853101 5.1636057 0, 103.0820207 5.1568955 0, 103.0858477 5.1381957 0, 103.0844567 5.1251911 0, 103.0851256 5.1250096 0, 103.0861738 5.1249882 0, 103.0877371 5.1386448 0, 103.0846836 5.1560838 0, 103.0853642 5.1595964 0, 103.0876755 5.1626814 0, 103.0874059 5.1735531 0, 103.0905144 5.1797813 0, 103.1002019 5.1890085 0, 103.1019071 5.1962268 0, 103.1054155 5.2152988 0, 103.1075188 5.222008 0, 103.1106084 5.2215811 0, 103.1121104 5.2185041 0, 103.1160154 5.2155551 0, 103.1193633 5.2111961 0, 103.1200063 5.2067511 0, 103.1321082 5.2020931 0, 103.1333532 5.2090591 0, 103.1341682 5.2132471 0, 103.1350692 5.2163241 0, 103.1367862 5.2233331 0, 103.1321082 5.2259831 0, 103.1287183 5.2231621 0, 103.1248993 5.2251281 0, 103.1281173 5.2312821 0, 103.1176463 5.2352141 0, 103.1188053 5.2367521 0, 103.1203933 5.2384191 0, 103.1217663 5.2391451 0, 103.1229673 5.2408121 0, 103.1246673 5.2426171 0, 103.1237833 5.2435471 0, 103.1220663 5.2438891 0, 103.1197493 5.2469661 0, 103.1206933 5.2537181 0, 103.1207793 5.2569661 0, 103.1195343 5.2585471 0, 103.1189333 5.2590171 0, 103.1158014 5.2597871 0, 103.1071324 5.2649151 0))",MOTOR ROUTE COVERAGE,AJL (ER2 - SMALL)
